name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
happy together,happy together,the turtles,1jo1xltvc8mwhioe3yacl0,1967,74,176293,0.584,0.55,0.3670000000000001,1.3800000000000003e-05,0.0818,0.588,-9.638,0.0328,120.175,6,4,happy
harvest love,harvest love,tash sultana,2kk7oublfkd7tt9tjwgw7z,2018-07-13,41,365928,0.276,0.314,0.251,6.05e-06,0.122,0.18,-9.078,0.0295,95.705,2,4,sad
hash pipe,weezer (green album),weezer,2mpmfjvq0v27gvqe5b6ndn,2001-05-15,65,186533,0.578,0.000121,0.882,0.479,0.284,0.623,-6.354,0.044,125.603,7,4,energetic
heaven - david guetta & morten remix,heaven (david guetta & morten remix),avicii,4qaugy6k7c3ioahgwz52r7,2019-08-23,66,215238,0.5720000000000001,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,6,4,happy
heavenly,heavenly,cigarettes after sex,0m6tljxixptslrmqpwbror,2019-08-28,3,288594,0.539,0.617,0.4320000000000001,0.6920000000000001,0.11,0.133,-9.298,0.0249,105.196,8,4,sad
heavy,home,collective soul,3vqt0fet6i52anhu7malip,2006-02-07,55,177213,0.535,0.000919,0.8540000000000001,0.00149,0.0676,0.618,-6.519,0.0368,106.929,1,4,energetic
here comes the sun - remastered 2009,abbey road (remastered),the beatles,6dgnyiexmhdcikdznndmm2,1969-09-26,83,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484000000000002,0.0347,129.171,9,4,happy
holding on,scary kids scaring kids,scary kids scaring kids,48h6uwubyeezuixwb5f69k,2007-09-25,45,261240,0.421,0.000442,0.935,0.000212,0.1,0.455,-5.153,0.0697,165.02,8,4,energetic
hollowman,trapt,trapt,3modqpj30w4wk96bbwljk9,2002-11-05,36,303013,0.502,0.000214,0.92,0.0,0.306,0.182,-4.588,0.0611,159.884,2,4,energetic
home,home,lucas & steve,3qsp2uatcdcrrlknjtupj8,2018-07-20,46,189834,0.544,0.00851,0.932,0.00811,0.157,0.337,-5.816,0.0679,125.954,10,4,energetic
"honey, this mirror isn't big enough for the two of us","i brought you my bullets, you brought me your love",my chemical romance,5gnvtfd1l6qrpgof0wfo0q,2002,54,231096,0.383,0.000328,0.946,1.13e-06,0.0537,0.534,-8.122,0.0789,108.591,1,4,energetic
how bizarre,how bizarre,omc,6rt3pxdeqoa7m6tk502dna,1996,0,224053,0.784,0.261,0.675,1.4e-06,0.293,0.8540000000000001,-7.718,0.049,124.908,0,4,happy
how to fight,how to fight,eartheater,6rubsxfnfc6rafdfm9yb3r,2020-08-05,38,211295,0.404,0.7020000000000001,0.249,0.000911,0.171,0.284,-15.880999999999998,0.0472,120.221,7,4,sad
human connection,human connection,cult solo,1v17xhhzgigz6h14rinhdi,2017-11-02,49,328040,0.6,0.0938,0.882,0.912,0.0542,0.347,-8.394,0.0311,120.008,5,4,happy
humans (let me love you),humans (let me love you),sick individuals,1ib1gfstgmeecjscmaj0lw,2019-05-24,59,161048,0.584,0.21,0.835,1.49e-06,0.126,0.371,-3.663,0.0584,128.106,7,4,happy
hunter,hunter,anna calvi,2nrzo1y3t6uavcz1i8dmqm,2018-07-31,22,251693,0.439,0.316,0.454,0.000696,0.0901,0.388,-8.251,0.028,97.97,5,4,sad
hypnagogia well,hypnagogia well,monocle twins,2jpl7mfomzrnbasj790bfq,2019-10-17,50,222000,0.545,0.7709999999999999,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,2,4,calm
i can't help (with sarcastic sounds),i can't help (with sarcastic sounds),shoffy,1odyu7mdo94yduvfzpapvp,2020-02-07,47,121250,0.7140000000000001,0.393,0.4,0.000718,0.109,0.318,-8.264,0.0618,81.97399999999998,2,4,sad
i don't trust that bird of prey,requiescence,random forest,33gvbwdqw7arx0y2zm7qm3,2019-10-04,51,210500,0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,7,4,calm
i stand alone,"good times, bad times - ten years of godsmack",godsmack,6pgjtjaexykwwxbmcoyvly,2007-01-01,0,243840,0.211,4.51e-05,0.921,0.0,0.1,0.351,-4.468,0.0729,171.9,0,4,energetic
i took a pill in ibiza,"at night, alone.",mike posner,1pikcvhlmhpvl7ipjx9djk,2016-05-06,0,280800,0.636,0.618,0.319,1.7e-06,0.125,0.378,-10.065,0.0718,74.109,10,4,sad
i was made for lovin' you,dynasty (remastered version),kiss,2zscy3p1qzpjyscwa6nriu,1979-03-23,1,271240,0.768,0.213,0.852,7.45e-05,0.0723,0.867,-6.215,0.038,128.374,4,4,happy
i would die 4 u,purple rain,prince,6fbwve6udydnrqwqo06if8,1984-06-25,61,178986,0.731,0.0862,0.75,0.000388,0.202,0.639,-10.457,0.0321,135.406,2,4,happy
i dine øjne,i dine øjne,efterklang,07htwtiszvnqfdl38sicin,2019-08-21,0,297249,0.67,0.762,0.417,0.0214,0.104,0.0708,-12.553,0.0404,121.13,8,4,sad
i've been fine,lovelaws,tt,0kypbz6paxzpcaobqxhahu,2018-05-18,23,241079,0.5479999999999999,0.13,0.569,0.00134,0.0584,0.265,-6.215,0.039,75.082,11,4,sad
if you believe,unification,yonder dale,0qurrfrhz1rgbdpptx7llv,2020-05-22,37,183428,0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.94299999999998,8,4,calm
if you think it's love,cheap queen,king princess,3iil6mernpfnx1bny9sfvm,2019-10-25,57,203946,0.4320000000000001,0.807,0.34,0.0,0.0864,0.449,-7.977,0.0824,135.172,5,4,sad
images,images,delange,4sqihhgpprozndw5zmx36p,2020-06-05,42,163666,0.387,0.993,0.00579,0.929,0.136,0.1369999999999999,-21.823,0.0439,111.991,7,4,calm
in this moment,in this moment,lucas delphy,7forbaxm1qwuwbyo7rtz42,2019-05-27,51,158666,0.479,0.7709999999999999,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,6,4,calm
infinite sustain,infinite sustain,amaranth cove,5aciickjktlkrrapsrkqy5,2019-10-04,57,149000,0.529,0.8,0.214,0.907,0.109,0.0903,-19.268,0.0315,124.069,6,4,calm
ingénue,ingénue,eline moss,6mgkp4yo57gtsmc3fjlywm,2019-11-18,55,158176,0.283,0.993,0.122,0.905,0.0927,0.112,-23.074,0.0285,83.74600000000002,9,4,calm
inside the fire,disturbed,disturbed,1xhcapgiorrgvlbnwe7x4n,2010-04-26,12,231573,0.463,0.000233,0.962,0.109,0.0906,0.66,-6.43,0.0704,94.003,7,4,energetic
into black,blouse,blouse,5d8pkjxodlyx2sofr6rcsm,2011-10-31,47,208237,0.705,0.463,0.6809999999999999,0.8390000000000001,0.123,0.7070000000000001,-8.277999999999999,0.0258,114.003,9,4,sad
isonoe,gliese,job roggeveen,4sp8bzizkgvq6jhospf17a,2020-02-28,23,159045,0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.57299999999995,7,4,calm
it's my fault,it's my fault,lolo zouaï,3qp17szh39zvczqnopq9be,2020-04-24,54,195986,0.647,0.815,0.235,1.7800000000000002e-05,0.233,0.0382,-10.123,0.0389,129.85,8,4,sad
"john wayne gacy, jr.",illinois,sufjan stevens,2gfbh7nnefsebozzdb5d2c,2005-07-05,50,199920,0.463,0.917,0.179,1.73e-05,0.12,0.183,-14.852,0.0402,80.747,0,4,sad
jupiter 4,jupiter 4,sharon van etten,64birkpw9f4xgzolaiobcp,2018-11-27,39,314080,0.475,0.0168,0.498,0.4920000000000001,0.1369999999999999,0.0592,-10.609000000000002,0.0303,88.882,10,4,sad
just look at you,432 water crystals,369,62x7ld1sa8rhl4zrtsvfhf,2020-02-21,59,187385,0.5579999999999999,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,7,4,calm
just the two of us (feat. bill withers),anthology,"grover washington, jr.",1ko2lvn0vkgul9zru0qslt,1985,70,237106,0.8029999999999999,0.5760000000000001,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,1,4,happy
kangaroo (remastered),it'll end in tears (remastered),this mortal coil,1hdiqeol9mxojnsz33vovw,1984,47,209093,0.19,0.768,0.1669999999999999,0.1639999999999999,0.126,0.0491,-11.298,0.0291,169.636,3,4,sad
kaolnite,kaolnite,burgundy skies,4fitbshkbcgkwixn1idie5,2019-03-15,50,180689,0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,1,4,calm
keep going,keep going,mark milan,4hhup3yzfajcc7o0dnbwcq,2019-12-20,31,200527,0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,3,4,calm
kids in the dark,kids in the dark,bat for lashes,2dqq3ymx6nljkxhrjy5w4j,2019-06-10,35,208613,0.47,0.524,0.526,0.00557,0.0856,0.257,-10.987,0.0307,138.97799999999998,1,4,sad
kinky living,clockdust,rustin man,4emowr7lughvru6rn97upi,2020-03-20,19,285000,0.526,0.7090000000000001,0.493,0.606,0.0993,0.574,-9.728,0.0428,154.071,2,4,sad
kinky love,flesh balloon,pale saints,3uz3k1ctq6moidqrddkhxo,1991-06-24,46,244240,0.376,0.133,0.277,0.0,0.0643,0.309,-18.291,0.0357,178.81400000000005,1,4,sad
kiss you all over - single edit,kiss you all over,isaac elton,1whkiswzw9zgcoldbybhfl,2017-10-03,47,240383,0.696,0.0578,0.8240000000000001,8.56e-06,0.158,0.667,-5.67,0.0538,126.023,0,4,energetic
kite,kite,yume,6a8u8dihiuewrprq2oocvu,2020-02-07,35,110714,0.534,0.973,0.019,0.8959999999999999,0.108,0.157,-26.071,0.0413,115.917,7,4,calm
klangfall - piano version,klangfall (piano version),joep beving,4pwowm3xmkryghsijdf61f,2020-01-17,42,353007,0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,0,4,calm
la luz,chapter i,city of the sun,6iq6akhlgjqtrpziqfotyk,2019-11-15,49,303120,0.5589999999999999,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,7,4,calm
last time,last time,johnning,7v3tuzpub1qd490tivddwf,2020-05-15,54,202480,0.628,0.111,0.5870000000000001,0.0,0.156,0.4,-5.195,0.0441,140.01,7,4,sad
late in the evening,one-trick pony,paul simon,2h23bjg8b3bcd47hbu6bhg,1980-08-01,60,242706,0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,5,4,happy
laugavegur,laugavegur,dreyma,4nzsgfwgyuoywcbx61jy6j,2018-10-09,56,188795,0.515,0.54,0.408,0.769,0.0916,0.308,-12.688,0.0385,115.002,7,4,calm
lay your head on me (feat. marcus mumford),lay your head on me (feat. marcus mumford),major lazer,0ob9964bp22bmok0dmxlzb,2020-03-26,61,199895,0.6579999999999999,0.0471,0.765,1.02e-05,0.0936,0.222,-7.002000000000002,0.0469,119.974,11,4,happy
let it go,chaos and the calm,james bay,13hvjjwuzfawilh2qujksp,2014-12-15,73,260533,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,1,4,sad
let it out,xy chelsea (original soundtrack),jehnny beth,72rhjyz3i7k90hk1ef1f0c,2019-06-07,38,213173,0.596,0.381,0.528,0.8590000000000001,0.205,0.15,-12.481,0.0289,117.041,2,4,sad
light year,light year,evan michael brown,1c2jiknmjv8fazlrgwobbj,2019-07-28,51,234000,0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,9,4,calm
light years,light years,the national,0dckspzvwa64mvnoces49q,2019-04-04,0,213373,0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,4,4,sad
lights go down,lights go down,mike candys,2shd8wlebq8fdg6chqopkc,2019-10-18,57,155520,0.741,0.00254,0.812,0.104,0.301,0.146,-5.356,0.039,124.991,1,4,energetic
like the way i do,greatest hits - the road less traveled,melissa etheridge,38txecvuuqf3peopvnerv6,2005,0,324760,0.591,0.0213,0.931,0.0,0.122,0.6729999999999999,-4.84,0.0557,101.551,2,4,happy
limitless,limitless,lucas delphy,5qgnwi8u3o9mqg7rr3yopj,2019-10-31,54,165685,0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,7,4,calm
linger,linger,no vacation,7zwq9qz0vak75qbtglz0wb,2019-04-01,40,262375,0.54,0.0122,0.574,0.000658,0.226,0.225,-7.006,0.0232,94.975,7,4,sad
listen to the music,toulouse street,the doobie brothers,7ar4g7ci11gpt6sfh9cgz5,1972,77,227266,0.645,0.221,0.598,3.53e-06,0.0721,0.913,-13.18,0.0335,105.929,1,4,happy
little lion man,sigh no more (benelux edition),mumford & sons,1qtixxvagxwe6gf8pbwave,2012-11-16,46,247000,0.515,0.0244,0.496,7.24e-06,0.0895,0.442,-8.017999999999999,0.0275,138.61,5,4,happy
little talks,my head is an animal,of monsters and men,2ihcavdnzmnhzwt0fvam7b,2012-01-01,78,266600,0.457,0.0206,0.757,0.0,0.146,0.417,-5.1770000000000005,0.032,102.961,1,4,happy
little things,sixteen stone,bush,29irvqao62oke22tdamsnm,1994-12-06,0,264293,0.3670000000000001,0.000229,0.915,0.0,0.184,0.215,-5.452999999999999,0.0682,112.642,7,4,energetic
living,reflection of youth,eera,4ytv5yzyal3lzkymjrxjse,2017-11-03,31,279826,0.46,0.14,0.59,0.591,0.112,0.212,-9.375,0.0327,118.008,6,4,sad
london thunder,london thunder,foals,4gkoh2vad57fgeitzteauh,2015-08-24,37,254426,0.489,0.6409999999999999,0.357,0.333,0.0838,0.0388,-9.745,0.0259,92.009,6,4,sad
lonely boy,what's wrong with this picture?,andrew gold,6wgmloeqd2k3rbxfhd0yup,1976,55,264893,0.588,0.0386,0.598,5.83e-05,0.107,0.866,-13.288,0.0296,123.724,9,4,happy
long way down,long way down (deluxe),tom odell,1uvk6s6fpkrmji0itpgkec,2013-06-24,59,149773,0.3670000000000001,0.972,0.121,0.0322,0.0871,0.0926,-13.778,0.0335,132.244,6,4,sad
lorelei,treasure,cocteau twins,1mwgbyzrmpxwablidw8tzg,1984-11-01,53,223573,0.387,0.000158,0.669,0.423,0.166,0.414,-11.187,0.0395,90.995,0,4,sad
los feliz,los feliz,search for atlantis,0efoqjqkogwpeztzazsb6j,2019-05-27,49,166927,0.575,0.197,0.373,0.898,0.0753,0.123,-11.642,0.0279,74.975,11,4,calm
losing you,human,aquilo,5afszu0b7ccayjtkbtntsq,2014-12-08,50,205859,0.383,0.63,0.446,0.0,0.0946,0.213,-8.693,0.0382,77.399,0,4,sad
lost,lost,annelie,7nc2eopmnpdt2dkvniimsm,2020-06-05,64,161520,0.389,0.972,0.1,0.934,0.113,0.0676,-22.464,0.0358,133.839,10,4,calm
lost moon,i can feel the night around me,nightlands,5qll4rxjw3mqbx8xvs75ts,2017-05-05,33,356125,0.448,0.328,0.591,0.708,0.111,0.303,-9.291,0.0327,145.482,0,4,sad
love is a losing game,back to black,amy winehouse,4imbnbrqm9ralmlrrqfmor,2006-01-01,0,154160,0.48,0.317,0.561,0.0064099999999999,0.184,0.541,-5.874,0.027,164.791,0,4,sad
lovely day,lean on me: the best of bill withers,bill withers,0acackohuwgfgy5cxvil4n,1994-08-09,67,255066,0.693,0.194,0.565,0.000175,0.0806,0.6920000000000001,-12.583,0.0345,97.937,9,4,happy
lunar eclipse,lunar eclipse,marc torch,0n2x57zaddr0odixub64sx,2020-05-22,50,156473,0.632,0.224,0.469,0.8540000000000001,0.0902,0.316,-10.513,0.0307,128.0,11,4,calm
mad about you,the magnificent tree,hooverphonic,5drk2kte2mrudv33ihwyrx,2000,62,223733,0.465,0.00109,0.8440000000000001,0.399,0.0865,0.155,-4.352,0.0379,170.358,1,4,happy
make believe,make believe,quintino,56oqwzuaa8zmhqch3lcri3,2019-08-09,59,194531,0.5870000000000001,0.03,0.882,0.116,0.195,0.0653,-5.837999999999999,0.0427,127.97,0,4,energetic
malibu,malibu,matthew harvey,3rlwtjekhemcfipvwmfozs,2019-08-14,50,150405,0.435,0.977,0.154,0.85,0.0728,0.0799,-21.451,0.0367,148.1,6,4,calm
marbles,the first tindersticks album,tindersticks,4ivwqtuwkg4jktgojx6t9v,1993-10-11,40,269866,0.49,0.0934,0.521,0.862,0.266,0.148,-9.601,0.0295,107.778,2,4,sad
melancholé,melancholé,biba dupont,3sdkya8frhe3bmzspvprrq,2020-06-26,34,149647,0.369,0.996,0.0283,0.941,0.101,0.119,-25.76,0.0399,83.391,2,4,calm
mercy - live,retrospective,hilary hahn,4bntwrokzb5e0y0k3lohsq,2018-01-19,0,326146,0.211,0.916,0.0838,0.41,0.102,0.0404,-20.882,0.0398,90.249,10,4,calm
message in a bottle - remastered 2003,reggatta de blanc (remastered),the police,3bn4tg6rnnpy9gckghym4t,1979-10-02,1,290280,0.5770000000000001,0.0338,0.8079999999999999,1.33e-05,0.221,0.8690000000000001,-7.04,0.039,151.00799999999995,1,4,happy
mil sonidos,mil sonidos,reina del mar,11ovq68b4pnvqhiy6svpxg,2019-10-11,59,192000,0.221,0.958,0.183,0.821,0.102,0.057,-17.59,0.0362,117.321,6,4,calm
mind-wanders,journey to the unknown,patrick hamilton,4synrslv9pginycbsc18jz,2020-07-10,32,207500,0.312,0.959,0.0185,0.901,0.111,0.147,-25.607,0.0437,176.972,9,4,calm
minus,minus,daniel blumberg,5z8onmr6ew2endamrdowi5,2018-03-15,0,342493,0.244,0.501,0.254,0.0458,0.105,0.0909,-12.966,0.0296,81.04899999999998,7,4,sad
montana,montana,le verne,1eycttkkgjvs3uytuy8yzm,2019-05-13,49,133645,0.435,0.913,0.0595,0.882,0.104,0.0898,-17.456,0.0435,115.929,2,4,calm
monumental,monumental,antuigo,6cku6k0xvozagflqq44z56,2020-01-28,56,195057,0.491,0.916,0.217,0.962,0.177,0.0647,-6.805,0.0521,99.97,4,4,calm
morning shimmer,morning shimmer,vochey,24pdulzfloktagh4axr36e,2020-05-13,49,218880,0.449,0.58,0.163,0.908,0.114,0.0501,-16.409000000000002,0.0361,125.088,11,4,calm
movies,movies,weyes blood,4zyfwxohcidsdgudomk9fr,2019-03-19,30,353732,0.0903,0.6459999999999999,0.362,0.402,0.106,0.0964,-8.929,0.0337,74.729,7,4,sad
mr. blue sky,out of the blue,electric light orchestra,2rlgnhkcydi9sayd2df2xp,1977,82,303373,0.388,0.652,0.338,3.72e-06,0.248,0.477,-10.054,0.0328,177.78400000000005,10,4,happy
mr. jones,august and everything after,counting crows,5dixcvovi0fcy2s0icwwuu,1993-01-01,77,272293,0.578,0.183,0.8170000000000001,3.06e-06,0.285,0.726,-6.542000000000002,0.0363,141.621,0,4,happy
mudshovel,dysfunction,staind,6264zkfgxm13jurbx4mmyd,1999-04-13,65,282093,0.328,0.000224,0.826,0.000944,0.0818,0.341,-5.085,0.0362,106.606,6,4,energetic
"murder song (5, 4, 3, 2, 1) - acoustic",all my demons greeting me as a friend (deluxe),aurora,6mm22atxb7i5gftermf0mj,2016-03-11,55,218666,0.398,0.902,0.0887,1.76e-06,0.0873,0.356,-13.683,0.0334,74.797,9,4,sad
my favourite game,best of,the cardigans,4lpopf5rxzhs1glzclhyat,2008-01-25,0,220413,0.594,0.000156,0.7659999999999999,0.00345,0.086,0.453,-7.598,0.0327,143.482,5,4,energetic
my hero,greatest hits,foo fighters,7u5dbtasrtoubttzjjrvuj,2009-11-03,60,258973,0.364,6.01e-05,0.925,0.000251,0.0603,0.301,-4.224,0.0659,153.981,4,4,energetic
my sharona,get the knack,the knack,1homkjp0nhmatnfakslcqj,1979-01-01,74,295400,0.586,0.0589,0.7,0.00125,0.0318,0.897,-9.558,0.0363,147.245,0,4,happy
my way - marcus santoro remix,my way (ft. alice berg) [marcus santoro remix],nicky romero,29pqaseiyy3otgq55dzytt,2019-03-19,0,181147,0.563,0.0122,0.882,2.09e-06,0.0641,0.296,-4.755,0.0596,125.043,1,4,energetic
never letting go,never letting go,audien,5llpdgzjjjfjv9al6zaily,2018-11-09,58,172519,0.534,0.0915,0.765,0.00107,0.225,0.117,-3.151,0.0338,127.978,1,4,happy
never my love,voices in the sky,isobel campbell,4zrkmghvgggnjmhemmxd6i,2020-08-07,37,206584,0.764,0.6659999999999999,0.245,0.787,0.0967,0.356,-16.201,0.0383,101.968,8,4,sad
night moves,night moves,bob seger,6ubjsnyp1o5w5ndjoo9vuk,1976-10-22,71,324422,0.705,0.4320000000000001,0.743,0.0133,0.103,0.374,-6.631,0.042,118.552,1,4,happy
night surrender,night surrender,delange,0kox8haek0efewcnvtokty,2020-07-17,38,193653,0.211,0.993,0.00977,0.8909999999999999,0.0996,0.13,-25.787,0.0396,175.39700000000005,1,4,calm
no more 54,no more 54,dada life,7lgkgntoygwfsjsggdxfop,2019-03-22,46,196273,0.541,0.000492,0.967,0.6759999999999999,0.103,0.134,-5.682,0.0529,126.026,1,4,energetic
no time to die,no time to die,billie eilish,73spzrcahk0rqpfp73vqvr,2020-02-13,82,242265,0.38,0.917,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.53699999999998,4,4,sad
no woman,light upon the lake,whitney,1clmfkw99s8ejrebo3gb04,2016-06-03,66,237973,0.581,0.893,0.4,0.5760000000000001,0.161,0.433,-8.738999999999999,0.0291,112.331,2,4,sad
north,solo (1*),ton snijders,3atuva6ojb7zxbbmfa5qyx,2020-08-07,26,126480,0.522,0.994,0.0155,0.927,0.0949,0.119,-28.022,0.0441,91.764,10,4,calm
north captiva,north captiva,lundegard,32dzxkztsf5vt3prjquv2i,2020-06-12,48,194495,0.479,0.918,0.346,0.929,0.111,0.23,-17.916,0.0306,143.965,9,4,calm
not alone,not alone,otto knows,7tx0ndscviutjoyd1c4a28,2016-11-25,44,215447,0.68,0.0053799999999999,0.721,0.000216,0.0679,0.267,-6.21,0.0355,122.0,7,4,happy
nowhere kids,shapeshifter,smile empty soul,08ei81e55lcqg2zeljoxcg,2016-04-01,36,248413,0.511,0.000106,0.914,0.00097,0.195,0.393,-5.31,0.0457,99.011,8,4,energetic
october rain,recollections vol. 4,various artists,2jdeypaowr0vmiykrgqmqe,2020-03-27,36,177077,0.187,0.992,0.014,0.923,0.0925,0.144,-29.31,0.0418,69.012,9,4,calm
old rain on a new day,celestial siren,cora zea,5p8bz67vw2cuwayi12yvyj,2020-03-13,54,225500,0.286,0.971,0.14,0.892,0.134,0.154,-16.496,0.0346,119.191,7,4,calm
older than i am,three. two. one.,lennon stella,15vdhams4jclzicjnkmql1,2020-04-24,66,181533,0.44,0.8909999999999999,0.306,0.0,0.103,0.201,-8.947000000000003,0.0363,117.288,9,4,sad
on another ocean (january / june),on another ocean (january / june) [edit],fleet foxes,2fgmzsodapru4eysrkawvn,2017-09-29,0,263373,0.284,0.155,0.523,0.0934,0.0933,0.0697,-6.5120000000000005,0.0285,100.597,7,4,sad
on my way (feat. jordan kaahn),on my way (feat. jordan kaahn),robbie rivera,0kdtki3vn3leobv3v3ehhy,2018-07-20,48,218000,0.6609999999999999,0.0188,0.93,0.00146,0.0919,0.3670000000000001,-4.208,0.0617,122.052,7,4,happy
one night - d.o.d remix,one night (d.o.d remix),cedric gervais,5q0vxlfh80f3lmbgnude4m,2018-05-04,41,252500,0.6809999999999999,0.00732,0.969,0.199,0.219,0.26,-1.394,0.0702,126.024,1,4,energetic
one step closer,hybrid theory,linkin park,61fuybl3xs40gcffnnnpox,2000-10-24,54,157333,0.4920000000000001,0.0014,0.969,1.32e-06,0.0787,0.5379999999999999,-4.419,0.0491,95.136,9,4,energetic
only,only,ry x,0yfd3msq6jesnxozsljr7g,2016-03-04,0,268455,0.373,0.906,0.178,0.5579999999999999,0.109,0.0933,-15.52,0.0303,108.605,7,4,sad
only you,we were here,joshua radin,2zayfnn1yqulsvdhhanr4q,2006,55,149013,0.545,0.362,0.255,1.77e-05,0.0841,0.831,-14.844,0.0311,98.088,8,4,sad
open fields,open fields,faelt,24cjs73hbvytvguuzbnyan,2020-06-30,39,183181,0.491,0.97,0.197,0.916,0.214,0.216,-19.261,0.0298,132.106,4,4,calm
open skies,open skies,lost horse mine,5bath5zpkb6uauocsl0xrm,2020-04-28,52,154863,0.56,0.00104,0.5589999999999999,0.812,0.123,0.0869,-7.807,0.0274,133.04399999999998,0,4,calm
orbits,orbits,halfway escape,6jfx2shozh7tpiioomlrqj,2020-07-07,33,204827,0.438,0.855,0.404,0.8809999999999999,0.11,0.4,-13.924,0.039,116.142,6,4,calm
our lady of sorrows,"i brought you my bullets, you brought me your love",my chemical romance,46mpwqpvsfkxrr5nwoww74,2002,50,125626,0.271,0.00099,0.931,0.0,0.182,0.382,-6.81,0.0785,142.407,1,4,energetic
outside,outside,mormor,7cx3kipstzoskaqte3ltei,2019-03-21,51,238020,0.637,0.0925,0.613,0.425,0.156,0.598,-7.432,0.0272,127.006,1,4,sad
over my head (better off dead),does this look infected?,sum 41,3so0vfryyv381w1imgwong,2002-01-01,49,149306,0.44,0.00222,0.919,0.00503,0.0892,0.773,-4.462,0.0735,184.324,7,4,energetic
pain,a deeper understanding,the war on drugs,59p1nrdeimkaka1nyw9x2e,2017-08-25,60,330760,0.523,0.00387,0.833,0.000339,0.0841,0.482,-4.374,0.0405,115.975,7,4,sad
paperthin hymn,never take friendship personal,anberlin,6vsmhllvyaakzryft3llou,2005-01-01,53,197480,0.298,0.00111,0.597,0.0,0.0819,0.536,-12.107,0.0343,180.43400000000003,5,4,energetic
parabel,parabel,matteo myderwyk,4irzpcip60bro2wkbq5dii,2019-12-13,22,133000,0.354,0.976,0.0214,0.903,0.0957,0.148,-32.492,0.0388,112.008,6,4,calm
paradise,mylo xyloto,coldplay,6nek1nin9q48avzcws9e9d,2011-10-24,80,278719,0.449,0.0522,0.585,8.49e-05,0.0833,0.203,-6.7620000000000005,0.0268,139.627,5,4,happy
paralyzer,them vs. you vs. me,finger eleven,6k1njnbyuiqgwjlg4ed26y,2007-03-06,0,208106,0.6459999999999999,0.159,0.938,0.0,0.235,0.888,-3.4530000000000003,0.0448,106.029,11,4,energetic
petrichor,petrichor,cecelya,22kky6ftt0i4nygncbwc1b,2019-01-29,54,118321,0.319,0.937,0.122,0.905,0.1669999999999999,0.214,-16.69,0.0373,70.263,4,4,calm
pierre,virgule,hicham chahidi,1qlvrqex158nz91z72lzaa,2018,35,182000,0.356,0.989,0.0499,0.943,0.135,0.153,-24.949,0.0407,67.11,11,4,calm
pink rupture,pink rupture,kornum & karma,3l47u91y7yigpplpbrulh0,2018-04-27,51,348907,0.736,0.00178,0.356,0.7040000000000001,0.0925,0.525,-8.676,0.0405,118.002,4,4,happy
placidity,placidity,estado de calma,1xtkmixg2o5sqorni8szvk,2019-08-19,50,165268,0.261,0.474,0.25,0.893,0.0882,0.0827,-18.526,0.0339,153.045,7,4,calm
play the ghost,play the ghost,sarah davachi,0nl2btth1uvqhwddummm3f,2020-08-06,31,301291,0.118,0.911,0.0567,0.879,0.106,0.0391,-19.274,0.0427,83.721,11,4,sad
polyamorous,breaking benjamin: digital box set,breaking benjamin,1ovdggu8kdbchljtlm48mr,2009-01-01,37,176946,0.544,0.000132,0.895,0.107,0.147,0.875,-6.207000000000002,0.0522,98.128,1,4,energetic
pour les oiseaux,des plumes dans la tête,sylvain chauveau,4nfa9tjhonf6lnu4srbfg9,2010-02-21,0,76773,0.376,0.965,0.0879,0.944,0.099,0.308,-19.815,0.0423,70.433,0,4,calm
prelude,prelude,marynka,1qmdl4qnnkm8fdusermf21,2020-05-22,30,223500,0.306,0.996,0.0846,0.901,0.0909,0.118,-27.607,0.0535,164.732,1,4,calm
pressure,pressure,seth hills,7f2d3p6nzgfr6874f0e7e7,2019-12-20,49,135585,0.708,0.00885,0.863,0.366,0.285,0.4370000000000001,-4.001,0.0606,127.981,9,4,energetic
promise,horrorscope,eve 6,5mqel5pgndccwttwpaofiv,2000,48,176506,0.62,0.0079099999999999,0.85,0.0,0.0769,0.715,-4.096,0.0327,107.982,9,4,energetic
